pass,lpass,time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov
180,5.192957,38,0,1,0,0,0,0,0,0,0,0,0
193,5.2626939,39,0,0,1,0,0,0,0,0,0,0,0
181,5.198497,40,0,0,0,1,0,0,0,0,0,0,0
183,5.209486,41,0,0,0,0,1,0,0,0,0,0,0
218,5.384495,42,0,0,0,0,0,1,0,0,0,0,0
230,5.438079,43,0,0,0,0,0,0,1,0,0,0,0
242,5.488938,44,0,0,0,0,0,0,0,1,0,0,0
209,5.342334,45,0,0,0,0,0,0,0,0,1,0,0
191,5.252273,46,0,0,0,0,0,0,0,0,0,1,0
172,5.147494,47,0,0,0,0,0,0,0,0,0,0,1
194,5.267858,48,0,0,0,0,0,0,0,0,0,0,0
196,5.278115,49,1,0,0,0,0,0,0,0,0,0,0
196,5.278115,50,0,1,0,0,0,0,0,0,0,0,0
236,5.463832,51,0,0,1,0,0,0,0,0,0,0,0
235,5.459586,52,0,0,0,1,0,0,0,0,0,0,0
229,5.433722,53,0,0,0,0,1,0,0,0,0,0,0
243,5.493061,54,0,0,0,0,0,1,0,0,0,0,0
264,5.575949,55,0,0,0,0,0,0,1,0,0,0,0
272,5.605802,56,0,0,0,0,0,0,0,1,0,0,0
237,5.4680657,57,0,0,0,0,0,0,0,0,1,0,0
211,5.351858,58,0,0,0,0,0,0,0,0,0,1,0
180,5.192957,59,0,0,0,0,0,0,0,0,0,0,1
201,5.303305,60,0,0,0,0,0,0,0,0,0,0,0
204,5.3181261,61,1,0,0,0,0,0,0,0,0,0,0
188,5.236442,62,0,1,0,0,0,0,0,0,0,0,0
235,5.459586,63,0,0,1,0,0,0,0,0,0,0,0
227,5.4249564,64,0,0,0,1,0,0,0,0,0,0,0
234,5.455321,65,0,0,0,0,1,0,0,0,0,0,0
264,5.575949,66,0,0,0,0,0,1,0,0,0,0,0
302,5.710427,67,0,0,0,0,0,0,1,0,0,0,0
293,5.680173,68,0,0,0,0,0,0,0,1,0,0,0
259,5.556828,69,0,0,0,0,0,0,0,0,1,0,0
229,5.433722,70,0,0,0,0,0,0,0,0,0,1,0
203,5.313206,71,0,0,0,0,0,0,0,0,0,0,1
229,5.433722,72,0,0,0,0,0,0,0,0,0,0,0
242,5.488938,73,1,0,0,0,0,0,0,0,0,0,0
233,5.451038,74,0,1,0,0,0,0,0,0,0,0,0
267,5.587249,75,0,0,1,0,0,0,0,0,0,0,0
269,5.594711,76,0,0,0,1,0,0,0,0,0,0,0
270,5.598422,77,0,0,0,0,1,0,0,0,0,0,0
315,5.752573,78,0,0,0,0,0,1,0,0,0,0,0
364,5.897154,79,0,0,0,0,0,0,1,0,0,0,0
347,5.849325,80,0,0,0,0,0,0,0,1,0,0,0
312,5.743003,81,0,0,0,0,0,0,0,0,1,0,0
274,5.613128,82,0,0,0,0,0,0,0,0,0,1,0
237,5.4680683,83,0,0,0,0,0,0,0,0,0,0,1
278,5.627621,84,0,0,0,0,0,0,0,0,0,0,0
284,5.648974,85,1,0,0,0,0,0,0,0,0,0,0
277,5.624018,86,0,1,0,0,0,0,0,0,0,0,0
317,5.758902,87,0,0,1,0,0,0,0,0,0,0,0
313,5.746203,88,0,0,0,1,0,0,0,0,0,0,0
318,5.762051,89,0,0,0,0,1,0,0,0,0,0,0
374,5.924256,90,0,0,0,0,0,1,0,0,0,0,0
413,6.023448,91,0,0,0,0,0,0,1,0,0,0,0
405,6.003887,92,0,0,0,0,0,0,0,1,0,0,0
355,5.872118,93,0,0,0,0,0,0,0,0,1,0,0
306,5.723585,94,0,0,0,0,0,0,0,0,0,1,0
271,5.602119,95,0,0,0,0,0,0,0,0,0,0,1
306,5.723585,96,0,0,0,0,0,0,0,0,0,0,0
315,5.752573,97,1,0,0,0,0,0,0,0,0,0,0
301,5.7071198,98,0,1,0,0,0,0,0,0,0,0,0
356,5.874931,99,0,0,1,0,0,0,0,0,0,0,0
348,5.852202,100,0,0,0,1,0,0,0,0,0,0,0
355,5.872118,101,0,0,0,0,1,0,0,0,0,0,0
422,6.045005,102,0,0,0,0,0,1,0,0,0,0,0
465,6.142037,103,0,0,0,0,0,0,1,0,0,0,0
467,6.146329,104,0,0,0,0,0,0,0,1,0,0,0
404,6.001415,105,0,0,0,0,0,0,0,0,1,0,0
347,5.849325,106,0,0,0,0,0,0,0,0,0,1,0
305,5.720312,107,0,0,0,0,0,0,0,0,0,0,1
336,5.817111,108,0,0,0,0,0,0,0,0,0,0,0
340,5.828946,109,1,0,0,0,0,0,0,0,0,0,0
318,5.762051,110,0,1,0,0,0,0,0,0,0,0,0
362,5.891644,111,0,0,1,0,0,0,0,0,0,0,0
348,5.852202,112,0,0,0,1,0,0,0,0,0,0,0
363,5.894403,113,0,0,0,0,1,0,0,0,0,0,0
435,6.075346,114,0,0,0,0,0,1,0,0,0,0,0
491,6.196444,115,0,0,0,0,0,0,1,0,0,0,0
505,6.224558,116,0,0,0,0,0,0,0,1,0,0,0
404,6.001415,117,0,0,0,0,0,0,0,0,1,0,0
359,5.883322,118,0,0,0,0,0,0,0,0,0,1,0
310,5.736572,119,0,0,0,0,0,0,0,0,0,0,1
337,5.820083,120,0,0,0,0,0,0,0,0,0,0,0
360,5.886104,121,1,0,0,0,0,0,0,0,0,0,0
342,5.834811,122,0,1,0,0,0,0,0,0,0,0,0
406,6.006353,123,0,0,1,0,0,0,0,0,0,0,0
396,5.981414,124,0,0,0,1,0,0,0,0,0,0,0
420,6.040255,125,0,0,0,0,1,0,0,0,0,0,0
472,6.156979,126,0,0,0,0,0,1,0,0,0,0,0
548,6.306275,127,0,0,0,0,0,0,1,0,0,0,0
559,6.326149,128,0,0,0,0,0,0,0,1,0,0,0
463,6.137727,129,0,0,0,0,0,0,0,0,1,0,0
407,6.008813,130,0,0,0,0,0,0,0,0,0,1,0
362,5.891644,131,0,0,0,0,0,0,0,0,0,0,1
405,6.003887,132,0,0,0,0,0,0,0,0,0,0,0
417,6.033086,133,1,0,0,0,0,0,0,0,0,0,0
391,5.968708,134,0,1,0,0,0,0,0,0,0,0,0
419,6.037871,135,0,0,1,0,0,0,0,0,0,0,0
461,6.133398,136,0,0,0,1,0,0,0,0,0,0,0
472,6.156979,137,0,0,0,0,1,0,0,0,0,0,0
535,6.282267,138,0,0,0,0,0,1,0,0,0,0,0
622,6.43294139,139,0,0,0,0,0,0,1,0,0,0,0
606,6.4068814,140,0,0,0,0,0,0,0,1,0,0,0
508,6.230481,141,0,0,0,0,0,0,0,0,1,0,0
461,6.133398,142,0,0,0,0,0,0,0,0,0,1,0
390,5.966147,143,0,0,0,0,0,0,0,0,0,0,1
432,6.068426,144,0,0,0,0,0,0,0,0,0,0,0
